word,sentiment
disincentives,neg
disinterested,neg
disinterestedly,neg
disinterestedness,neg
disloyal,neg
disloyally,neg
disloyalty,neg
dismal,neg
dismally,neg
dismiss,neg
dismissal,neg
dismissals,neg
dismissed,neg
dismisses,neg
dismissing,neg
disorderly,neg
disparage,neg
disparaged,neg
disparagement,neg
disparagements,neg
disparages,neg
disparaging,neg
disparagingly,neg
disparities,neg
disparity,neg
displace,neg
displaced,neg
displacement,neg
displacements,neg
displaces,neg
displacing,neg
dispose,neg
dispossess,neg
dispossessed,neg
dispossesses,neg
dispossessing,neg
disproportion,neg
disproportional,neg
disproportionate,neg
disproportionately,neg
dispute,neg
disputed,neg
disputes,neg
disputing,neg
disqualification,neg
disqualifications,neg
disqualified,neg
disqualifies,neg
disqualify,neg
disqualifying,neg
disregard,neg
disregarded,neg
disregarding,neg
disregards,neg
disreputable,neg
disrepute,neg
disrupt,neg
disrupted,neg
disrupting,neg
disruption,neg
disruptions,neg
disruptive,neg
disrupts,neg
dissatisfaction,neg
dissatisfied,neg
dissent,neg
dissented,neg
dissenter,neg
dissenters,neg
dissenting,neg
dissents,neg
dissident,neg
dissidents,neg
dissolution,neg
dissolutions,neg
distinction,pos
distinctions,pos
distinctive,pos
distinctively,pos
distinctiveness,pos
distort,neg
distorted,neg
distorting,neg
distortion,neg
distortions,neg
distorts,neg
distract,neg
distracted,neg
distracting,neg
distraction,neg
distractions,neg
distracts,neg
distress,neg
distressed,neg
disturb,neg
disturbance,neg
disturbances,neg
disturbed,neg
disturbing,neg
disturbs,neg
diversion,neg
divert,neg
diverted,neg
diverting,neg
diverts,neg
divest,neg
divested,neg
divesting,neg
divestiture,neg
divestitures,neg
divestment,neg
divestments,neg
divests,neg
divorce,neg
divorced,neg
divulge,neg
divulged,neg
divulges,neg
divulging,neg
doubt,neg
doubted,neg
doubtful,neg
doubts,neg
downgrade,neg
downgraded,neg
downgrades,neg
downgrading,neg
downsize,neg
downsized,neg
downsizes,neg
downsizing,neg
downsizings,neg
downtime,neg
downtimes,neg
downturn,neg
downturns,neg
downward,neg
downwards,neg
drag,neg
drastic,neg
drastically,neg
drawback,neg
drawbacks,neg
dream,pos
dropped,neg
drought,neg
droughts,neg
duress,neg
dysfunction,neg
dysfunctional,neg
dysfunctions,neg
easier,pos
easily,pos
easy,pos
efficiencies,pos
efficiency,pos
efficient,pos
efficiently,pos
egregious,neg
egregiously,neg
embargo,neg
embargoed,neg
embargoes,neg
embargoing,neg
embarrass,neg
embarrassed,neg
embarrasses,neg
embarrassing,neg
embarrassment,neg
embarrassments,neg
embezzle,neg
embezzled,neg
embezzlement,neg
embezzlements,neg
embezzler,neg
embezzles,neg
embezzling,neg
empower,pos
empowered,pos
empowering,pos
empowers,pos
enable,pos
enabled,pos
enables,pos
enabling,pos
encouraged,pos
encouragement,pos
encourages,pos
encouraging,pos
encroach,neg
encroached,neg
encroaches,neg
encroaching,neg
encroachment,neg
encroachments,neg
encumber,neg
encumbered,neg
encumbering,neg
encumbers,neg
encumbrance,neg
encumbrances,neg
endanger,neg
endangered,neg
endangering,neg
endangerment,neg
endangers,neg
enhance,pos
enhanced,pos
enhancement,pos
enhancements,pos
enhances,pos
enhancing,pos
enjoin,neg
enjoined,neg
enjoining,neg
enjoins,neg
enjoy,pos
enjoyable,pos
enjoyably,pos
enjoyed,pos
enjoying,pos
enjoyment,pos
enjoys,pos
enthusiasm,pos
enthusiastic,pos
enthusiastically,pos
erode,neg
eroded,neg
erodes,neg
eroding,neg
erosion,neg
erratic,neg
erratically,neg
erred,neg
erring,neg
erroneous,neg
erroneously,neg
error,neg
errors,neg
errs,neg
escalate,neg
escalated,neg
escalates,neg
escalating,neg
evade,neg
evaded,neg
evades,neg
evading,neg
evasion,neg
evasions,neg
evasive,neg
evict,neg
evicted,neg
evicting,neg
eviction,neg
evictions,neg
evicts,neg
exacerbate,neg
exacerbated,neg
exacerbates,neg
exacerbating,neg
exacerbation,neg
exacerbations,neg
exaggerate,neg
exaggerated,neg
exaggerates,neg
exaggerating,neg
exaggeration,neg
excellence,pos
excellent,pos
excelling,pos
excels,pos
exceptional,pos
exceptionally,pos
excessive,neg
excessively,neg
excited,pos
excitement,pos
exciting,pos
exclusive,pos
exclusively,pos
exclusiveness,pos
exclusives,pos
exclusivity,pos
exculpate,neg
exculpated,neg
exculpates,neg
exculpating,neg
exculpation,neg
exculpations,neg
exculpatory,neg
exemplary,pos
exonerate,neg
exonerated,neg
exonerates,neg
exonerating,neg
exoneration,neg
exonerations,neg
exploit,neg
exploitation,neg
exploitations,neg
exploitative,neg
exploited,neg
exploiting,neg
exploits,neg
expose,neg
exposed,neg
exposes,neg
exposing,neg
expropriate,neg
expropriated,neg
expropriates,neg
expropriating,neg
expropriation,neg
expropriations,neg
expulsion,neg
expulsions,neg
extenuating,neg
fail,neg
failed,neg
failing,neg
failings,neg
fails,neg
failure,neg
failures,neg
fallout,neg
false,neg
falsely,neg
falsification,neg
falsifications,neg
falsified,neg
falsifies,neg
falsify,neg
falsifying,neg
falsity,neg
fantastic,pos
fatalities,neg
fatality,neg
fatally,neg
fault,neg
faulted,neg
faults,neg
faulty,neg
favorable,pos
favorably,pos
favored,pos
favoring,pos
favorite,pos
favorites,pos
fear,neg
fears,neg
felonies,neg
felonious,neg
felony,neg
fictitious,neg
fined,neg
fines,neg
fired,neg
firing,neg
flaw,neg
flawed,neg
flaws,neg
forbid,neg
forbidden,neg
forbidding,neg
forbids,neg
forced,neg
forcing,neg
foreclose,neg
foreclosed,neg
forecloses,neg
foreclosing,neg
foreclosure,neg
foreclosures,neg
forego,neg
foregoes,neg
foregone,neg
forestall,neg
forestalled,neg
forestalling,neg
forestalls,neg
forfeit,neg
forfeited,neg
forfeiting,neg
forfeits,neg
forfeiture,neg
forfeitures,neg
forgers,neg
forgery,neg
fraud,neg
frauds,neg
fraudulence,neg
fraudulent,neg
fraudulently,neg
friendly,pos
frivolous,neg
frivolously,neg
frustrate,neg
frustrated,neg
frustrates,neg
frustrating,neg
frustratingly,neg
frustration,neg
frustrations,neg
fugitives,neg
gain,pos
gained,pos
gaining,pos
gains,pos
good,pos
gratuitous,neg
gratuitously,neg
greatest,pos
greatly,pos
greatness,pos
grievance,neg
grievances,neg
grossly,neg
groundless,neg
guilty,neg
halt,neg
halted,neg
hamper,neg
hampered,neg
hampering,neg
hampers,neg
happiest,pos
happily,pos
happiness,pos
happy,pos
harass,neg
harassed,neg
harassing,neg
harassment,neg
hardship,neg
hardships,neg
harm,neg
harmed,neg
harmful,neg
harmfully,neg
harming,neg
harms,neg
harsh,neg
harsher,neg
harshest,neg
harshly,neg
harshness,neg
hazard,neg
hazardous,neg
hazards,neg
highest,pos
hinder,neg
hindered,neg
hindering,neg
hinders,neg
hindrance,neg
hindrances,neg
honor,pos
honored,pos
honoring,pos
honors,pos
hostile,neg
hostility,neg
hurt,neg
hurting,neg
ideal,pos
idle,neg
idled,neg
idling,neg
ignore,neg
ignored,neg
ignores,neg
ignoring,neg
ill,neg
illegal,neg
illegalities,neg
illegality,neg
illegally,neg
illegible,neg
illicit,neg
illicitly,neg
illiquid,neg
illiquidity,neg
imbalance,neg
imbalances,neg
immature,neg
immoral,neg
impair,neg
impaired,neg
impairing,neg
impairment,neg
impairments,neg
impairs,neg
impasse,neg
impasses,neg
impede,neg
impeded,neg
impedes,neg
impediment,neg
impediments,neg
impeding,neg
impending,neg
imperative,neg
imperfection,neg
imperfections,neg
imperil,neg
impermissible,neg
implicate,neg
implicated,neg
implicates,neg
implicating,neg
impossibility,neg
impossible,neg
impound,neg
impounded,neg
impounding,neg
impounds,neg
impracticable,neg
impractical,neg
impracticalities,neg
impracticality,neg
impress,pos
impressed,pos
impresses,pos
impressing,pos
impressive,pos
impressively,pos
imprisonment,neg
improper,neg
improperly,neg
improprieties,neg
impropriety,neg
improve,pos
improved,pos
improvement,pos
improvements,pos
improves,pos
improving,pos
imprudent,neg
imprudently,neg
inability,neg
inaccessible,neg
inaccuracies,neg
inaccuracy,neg
inaccurate,neg
inaccurately,neg
inaction,neg
inactions,neg
inactivate,neg
inactivated,neg
inactivates,neg
inactivating,neg
inactivation,neg
inactivations,neg
inactivity,neg
inadequacies,neg
inadequacy,neg
inadequate,neg
inadequately,neg
inadvertent,neg
inadvertently,neg
inadvisability,neg
inadvisable,neg
inappropriate,neg
inappropriately,neg
inattention,neg
incapable,neg
incapacitated,neg
incapacity,neg
incarcerate,neg
incarcerated,neg
incarcerates,neg
incarcerating,neg
incarceration,neg
incarcerations,neg
incidence,neg
incidences,neg
incident,neg
incidents,neg
incompatibilities,neg
incompatibility,neg
incompatible,neg
incompetence,neg
incompetency,neg
incompetent,neg
incompetently,neg
incompetents,neg
incomplete,neg
incompletely,neg
incompleteness,neg
inconclusive,neg
inconsistencies,neg
inconsistency,neg
inconsistent,neg
inconsistently,neg
inconvenience,neg
inconveniences,neg
inconvenient,neg
incorrect,neg
incorrectly,neg
incorrectness,neg
incredible,pos
incredibly,pos
indecency,neg
indecent,neg
indefeasible,neg
indefeasibly,neg
indict,neg
indictable,neg
indicted,neg
indicting,neg
indictment,neg
indictments,neg
ineffective,neg
ineffectively,neg
ineffectiveness,neg
inefficiencies,neg
inefficiency,neg
inefficient,neg
inefficiently,neg
ineligibility,neg
ineligible,neg
inequitable,neg
inequitably,neg
inequities,neg
inequity,neg
inevitable,neg
inexperience,neg
inexperienced,neg
inferior,neg
inflicted,neg
influential,pos
informative,pos
infraction,neg
infractions,neg
infringe,neg
infringed,neg
infringement,neg
infringements,neg
infringes,neg
infringing,neg
ingenuity,pos
inhibited,neg
inimical,neg
injunction,neg
injunctions,neg
injure,neg
injured,neg
injures,neg
injuries,neg
injuring,neg
injurious,neg
injury,neg
innovate,pos
innovated,pos
innovates,pos
innovating,pos
innovation,pos
innovations,pos
innovative,pos
innovativeness,pos
innovator,pos
innovators,pos
inordinate,neg
inordinately,neg
inquiry,neg
insecure,neg
insensitive,neg
insightful,pos
insolvencies,neg
insolvency,neg
insolvent,neg
inspiration,pos
inspirational,pos
instability,neg
insubordination,neg
insufficiency,neg
insufficient,neg
insufficiently,neg
insurrection,neg
insurrections,neg
integrity,pos
intentional,neg
interfere,neg
interfered,neg
interference,neg
interferences,neg
interferes,neg
interfering,neg
intermittent,neg
intermittently,neg
interrupt,neg
interrupted,neg
interrupting,neg
interruption,neg
interruptions,neg
interrupts,neg
intimidation,neg
intrusion,neg
invalid,neg
invalidate,neg
invalidated,neg
invalidates,neg
invalidating,neg
invalidation,neg
invalidity,neg
invent,pos
invented,pos
inventing,pos
invention,pos
inventions,pos
inventive,pos
inventiveness,pos
inventor,pos
inventors,pos
investigate,neg
investigated,neg
investigates,neg
investigating,neg
investigation,neg
investigations,neg
involuntarily,neg
involuntary,neg
irreconcilable,neg
irreconcilably,neg
irrecoverable,neg
irrecoverably,neg
irregular,neg
irregularities,neg
irregularity,neg
irregularly,neg
irreparable,neg
irreparably,neg
irreversible,neg
jeopardize,neg
jeopardized,neg
justifiable,neg
kickback,neg
kickbacks,neg
knowingly,neg
lack,neg
lacked,neg
lacking,neg
lackluster,neg
lacks,neg
lag,neg
lagged,neg
lagging,neg
lags,neg
lapse,neg
lapsed,neg
lapses,neg
lapsing,neg
laundering,neg
layoff,neg
layoffs,neg
leadership,pos
leading,pos
lie,neg
limitation,neg
limitations,neg
lingering,neg
liquidate,neg
liquidated,neg
liquidates,neg
liquidating,neg
liquidation,neg
liquidations,neg
liquidator,neg
liquidators,neg
litigant,neg
litigants,neg
litigate,neg
litigated,neg
litigates,neg
litigating,neg
litigation,neg
litigations,neg
lockout,neg
lockouts,neg
lose,neg
loses,neg
losing,neg
loss,neg
losses,neg
lost,neg
loyal,pos
lucrative,pos
lying,neg
malfeasance,neg
malfunction,neg
malfunctioned,neg
malfunctioning,neg
malfunctions,neg
malice,neg
malicious,neg
maliciously,neg
malpractice,neg
manipulate,neg
manipulated,neg
manipulates,neg
manipulating,neg
manipulation,neg
manipulations,neg
manipulative,neg
markdown,neg
markdowns,neg
meritorious,pos
misapplication,neg
misapplications,neg
misapplied,neg
misapplies,neg
misapply,neg
misapplying,neg
misappropriate,neg
misappropriated,neg
misappropriates,neg
misappropriating,neg
misappropriation,neg
misappropriations,neg
misbranded,neg
miscalculate,neg
miscalculated,neg
miscalculates,neg
miscalculating,neg
miscalculation,neg
miscalculations,neg
mischaracterization,neg
mischief,neg
misclassification,neg
misclassifications,neg
misclassified,neg
misclassify,neg
miscommunication,neg
misconduct,neg
misdated,neg
misdemeanor,neg
misdemeanors,neg
misdirected,neg
mishandle,neg
mishandled,neg
mishandles,neg
mishandling,neg
misinform,neg
misinformation,neg
misinformed,neg
misinforming,neg
misinforms,neg
misinterpret,neg
misinterpretation,neg
misinterpretations,neg
misinterpreted,neg
misinterpreting,neg
misinterprets,neg
misjudge,neg
misjudged,neg
misjudges,neg
misjudging,neg
misjudgment,neg
misjudgments,neg
mislabel,neg
mislabeled,neg
mislabeling,neg
mislabelled,neg
mislabels,neg
mislead,neg
misleading,neg
misleadingly,neg
misleads,neg
misled,neg
mismanage,neg
mismanaged,neg
mismanagement,neg
mismanages,neg
mismanaging,neg
mismatch,neg
mismatched,neg
mismatches,neg
mismatching,neg
misplaced,neg
misprice,neg
mispricing,neg
mispricings,neg
misrepresent,neg
misrepresentation,neg
misrepresentations,neg
misrepresented,neg
misrepresenting,neg
misrepresents,neg
miss,neg
missed,neg
misses,neg
misstate,neg
misstated,neg
misstatement,neg
misstatements,neg
misstates,neg
misstating,neg
misstep,neg
missteps,neg
mistake,neg
mistaken,neg
mistakenly,neg
mistakes,neg
mistaking,neg
mistrial,neg
mistrials,neg
misunderstand,neg
misunderstanding,neg
misunderstandings,neg
misunderstood,neg
misuse,neg
misused,neg
misuses,neg
misusing,neg
monopolistic,neg
monopolists,neg
monopolization,neg
monopolize,neg
monopolized,neg
monopolizes,neg
monopolizing,neg
monopoly,neg
moratoria,neg
moratorium,neg
moratoriums,neg
mothballed,neg
mothballing,neg
negative,neg
negatively,neg
negatives,neg
neglect,neg
neglected,neg
neglectful,neg
neglecting,neg
neglects,neg
negligence,neg
negligences,neg
negligent,neg
negligently,neg
nonattainment,neg
noncompetitive,neg
noncompliance,neg
noncompliances,neg
noncompliant,neg
noncomplying,neg
nonconforming,neg
nonconformities,neg
nonconformity,neg
nondisclosure,neg
nonfunctional,neg
nonpayment,neg
nonpayments,neg
nonperformance,neg
nonperformances,neg
nonperforming,neg
nonproducing,neg
nonproductive,neg
nonrecoverable,neg
nonrenewal,neg
nuisance,neg
nuisances,neg
nullification,neg
nullifications,neg
nullified,neg
nullifies,neg
nullify,neg
nullifying,neg
objected,neg
objecting,neg
objection,neg
objectionable,neg
objectionably,neg
objections,neg
obscene,neg
obscenity,neg
obsolescence,neg
obsolete,neg
obstacle,neg
obstacles,neg
obstruct,neg
obstructed,neg
obstructing,neg
obstruction,neg
obstructions,neg
offence,neg
offences,neg
offend,neg
offended,neg
offender,neg
offenders,neg
offending,neg
offends,neg
omission,neg
omissions,neg
omit,neg
omits,neg
omitted,neg
omitting,neg
onerous,neg
opportunistic,neg
opportunistically,neg
opportunities,pos
opportunity,pos
oppose,neg
opposed,neg
opposes,neg
opposing,neg
opposition,neg
oppositions,neg
optimistic,pos
outage,neg
outages,neg
outdated,neg
outmoded,neg
outperform,pos
outperformed,pos
outperforming,pos
outperforms,pos
overage,neg
overages,neg
overbuild,neg
overbuilding,neg
overbuilds,neg
overbuilt,neg
overburden,neg
overburdened,neg
overburdening,neg
overcapacities,neg
overcapacity,neg
overcharge,neg
overcharged,neg
overcharges,neg
overcharging,neg
overcome,neg
overcomes,neg
